;retornos;var;es;market
05-11-2020;-0.005309026;0.069094333;0.070956372;D1
06-11-2020;-0.003247204;0.060040196;0.061602939;D1
09-11-2020;0.03284645;0.063514829;0.065190143;D1
10-11-2020;-0.00431623;0.064966151;0.066689379;D1
11-11-2020;-0.020027223;0.066714968;0.068496598;D1
12-11-2020;0.002723902;0.052840933;0.054178599;D1
13-11-2020;0.001002608;0.06641753;0.068188957;D1
16-11-2020;-0.011334864;0.054953696;0.056356044;D1
17-11-2020;0.001674172;0.053732254;0.055096985;D1
18-11-2020;0.004316803;0.052623483;0.053955067;D1
19-11-2020;-0.010375503;0.054108014;0.055484674;D1
20-11-2020;0.010722181;0.045993361;0.047127878;D1
23-11-2020;0.028268069;0.050280111;0.051540515;D1
24-11-2020;-0.011264411;0.052931963;0.054272296;D1
25-11-2020;-0.003970785;0.053205386;0.054554019;D1
30-11-2020;-0.019742737;0.049713924;0.050957533;D1
01-12-2020;-0.014555902;0.052320205;0.053642032;D1
02-12-2020;-0.007423557;0.047008634;0.048172476;D1
03-12-2020;0.006251268;0.047903757;0.049093729;D1
04-12-2020;0.003353879;0.045343982;0.046459567;D1
07-12-2020;-0.012750921;0.045823262;0.046952964;D1
08-12-2020;-0.000929475;0.042679283;0.043719171;D1
09-12-2020;0.022311427;0.046626076;0.047778808;D1
10-12-2020;-0.021343416;0.047711059;0.048895428;D1
11-12-2020;-0.000243752;0.048087897;0.049283585;D1
