dts,jumps_1,jumps_2,jumps_3,jumps_4,jumps_5
15/01/2004,0.000380057402911564,9.93910971967901e-05,0,0,0
16/01/2004,0,0.000112281823711302,0,0,0
20/01/2004,0,0,0,0,3.19337380333502e-05
21/01/2004,0,-0,0.000130336329225882,-0,-0
22/01/2004,-0,0,0,0,-0
23/01/2004,0,0,-0,0,-0
26/01/2004,0,-0,0,0,4.1348927230524e-05
27/01/2004,0,0,-0,0,0
28/01/2004,0,0,0.000256760503496284,0,0.000103140826131835
29/01/2004,-0,0,0.000842684505085831,-0,0
30/01/2004,7.99380937062889e-05,0,0,0,0
02/02/2004,0.000188487394349509,0,0,0,5.88320896384795e-05
03/02/2004,9.28447128174141e-05,-0,0,-0,0
04/02/2004,0,0.000298159747579611,-0,1.38482470427622e-05,0
05/02/2004,0.000265560147755756,0,0,0,-0
06/02/2004,0.000264084731388634,0,0,0,3.83987106879595e-05
09/02/2004,-0,0,0,0,-0
10/02/2004,5.49591805874327e-05,0,0,0,1.74617399179569e-05
11/02/2004,-0,-0,0,-0,0
12/02/2004,0,0,0,-0,0
13/02/2004,-0,-0,0,3.65684622892695e-05,0
17/02/2004,0.000173334658166984,0,4.54314416268685e-05,0,0
18/02/2004,-0,4.6787597778668e-05,0,0,0
19/02/2004,0,0,0,2.09498705111987e-05,0
20/02/2004,0,0,0,0,0
23/02/2004,0,0.00010926012043815,0,0,0
24/02/2004,-0,-0,-0,4.73605939674074e-05,0
25/02/2004,0.000102845704815866,-0,0,0,3.15367173454587e-05
26/02/2004,0,-0,0,0,0
27/02/2004,-0,0,-0,0,0
01/03/2004,0,0,-0,-0,0
02/03/2004,4.48383043203557e-05,0,0,-0,-0
03/03/2004,-0,0,0,-0,0
04/03/2004,0,-0,0,0,0
05/03/2004,0,0,0,0,0
08/03/2004,0,0,-0,-0,0
09/03/2004,0,0,0,0,0
10/03/2004,0.00012939599817326,0,0,0,2.17826343679978e-05
11/03/2004,0,0.000375763183165824,0,0,-0
12/03/2004,0,0,0,-0,-0
15/03/2004,0,0.000187571774227682,0,0,0
16/03/2004,0.000368994745514089,0,0,0,-0
17/03/2004,0,0,0,1.96655964842083e-05,2.4913802086359e-05
18/03/2004,0,-0,-0,4.10517890045893e-05,-0
19/03/2004,0.000259683223927227,0,0,-0,6.22755629551397e-05
22/03/2004,0,0,0,4.31874360361677e-05,-0
23/03/2004,0,-0,0,0,0
24/03/2004,0,0,0,0,0
25/03/2004,0,0,0,-0,0
26/03/2004,0,0,0,0,0
29/03/2004,-0,0,0,0,4.02326828309428e-05
30/03/2004,0,0,0,0,0
31/03/2004,0,0,0,-0,-0
01/04/2004,0,0,0,0,0
02/04/2004,0,0.00012387009492142,3.27990512344479e-05,0,0
05/04/2004,0,4.98924456006349e-05,0,0,0
06/04/2004,-0,0,0,0,0
07/04/2004,0,0,-0,-0,0
08/04/2004,7.65736798278976e-05,-0,0,0,1.94398586714795e-05
12/04/2004,0,0,0,-0,2.38041256706281e-05
13/04/2004,0.000700642872988284,0,4.26071195000268e-05,-0,0
14/04/2004,0,0,-0,3.07885251384753e-05,0
15/04/2004,0,0,0,0,0
16/04/2004,0.000114806316913071,0,0,-0,0
19/04/2004,0,-0,4.48745223237131e-05,0,0
20/04/2004,0,0,-0,0,0
21/04/2004,0,-0,0,-0,3.73018976145795e-05
22/04/2004,0.000225092991821547,0,0,-0,0
23/04/2004,0,0.00022326723495409,0,3.61352033172052e-05,5.67062645689581e-05
26/04/2004,0,0,0,0,0
27/04/2004,0,-0,0,0,-0
28/04/2004,0,0.00012874381266126,0,0,0
29/04/2004,0,0,0,0,0
30/04/2004,0,-0,0,-0,-0
03/05/2004,0,0.000256412340323207,0,0,0
04/05/2004,0,0.000625452321748592,0,-0,-0
05/05/2004,0,0.000115093978194408,0,0,0
06/05/2004,0,0,0,-0,0
07/05/2004,0,0,0,0.000102326707946453,0
10/05/2004,0,0,-0,-0,0
11/05/2004,0,0,-0,0,3.29503728355994e-05
12/05/2004,0,0,0,0,0
13/05/2004,0,-0,-0,0,0
14/05/2004,0,0.00021013023651365,0,0,0
17/05/2004,-0,0,-0,0,-0
18/05/2004,0,-0,-0,0,0
19/05/2004,0,0,0,4.54267037093073e-05,0
20/05/2004,0.000104915577377028,0,-0,0,0
21/05/2004,0,-0,5.51733753983575e-05,0,3.82487269916101e-05
24/05/2004,0,0,-0,-0,0
25/05/2004,0,0,-0,-0,0
26/05/2004,0.000186292194692084,-0,-0,0,-0
27/05/2004,-0,0,0,0,0
28/05/2004,5.77683891399621e-05,0,3.3898534412469e-05,0,0
01/06/2004,0,-0,-0,-0,0
02/06/2004,0,0,-0,0,-0
03/06/2004,0,0,0,0,2.40362971058977e-05
04/06/2004,0,0,5.74482576843933e-05,9.74378759841681e-06,0
07/06/2004,0,0.000114151304384477,0,0,0
08/06/2004,0,0,0,0,0
09/06/2004,0,-0,-0,0,0
10/06/2004,0,0,4.50918045754262e-05,0,1.85189062164061e-05
14/06/2004,0,-0,0,0,0
15/06/2004,9.65059869499241e-05,5.79727427522502e-05,0,0,0
16/06/2004,-0,0,0,0,0
17/06/2004,0,0,0,-0,0
18/06/2004,5.82368487799605e-05,5.96333379747919e-05,5.28807003052893e-05,-0,4.24594364195693e-05
21/06/2004,0.000183947209263116,0,0,1.155206963081e-05,-0
22/06/2004,0,0,0,0,0
23/06/2004,0,0,0,-0,-0
24/06/2004,0,0,-0,0,0
25/06/2004,0,6.67882148932228e-05,5.44580766476511e-05,0,0
28/06/2004,0.00023434691074383,0,0,0,0
29/06/2004,0.000249088802125634,0,0,-0,-0
30/06/2004,0,0,0,1.73798488838683e-05,0
01/07/2004,-0,0,0,2.36708641407508e-05,0.000100983060858202
02/07/2004,0.000234539599355098,-0,0,0,0
06/07/2004,0,0,0,-0,4.86441465259226e-05
07/07/2004,0,0,4.9998164784203e-05,2.74859877405015e-05,5.32023382462455e-05
08/07/2004,0,-0,-0,0,0
09/07/2004,8.50986873614148e-05,-0,8.42756969899816e-05,0,0
12/07/2004,0,0,0,3.07761887420984e-05,3.4915970774185e-05
13/07/2004,0,0,7.3888775736523e-05,1.19312361755301e-05,-0
14/07/2004,0,0,0,0,0
15/07/2004,0.000394225175523401,0,0,-0,0
16/07/2004,-0,0,0,-0,0
19/07/2004,0,0.000193158887358291,0,0,9.53274959810983e-05
20/07/2004,0,0,8.34544875296482e-05,0,0
21/07/2004,0,0.00125749834920056,0,-0,0.000173538607779496
22/07/2004,0,0,0,-0,0
23/07/2004,0,0,0,0,0
26/07/2004,0,0.000359256195751789,-0,0,0
27/07/2004,-0,0,0,0,0
28/07/2004,-0,0,0,0,0
29/07/2004,0,-0,0,0,0
30/07/2004,0,0,8.34637611722597e-05,4.07441175868073e-05,0
02/08/2004,0,-0,0,0,0
03/08/2004,0,0.000312439788955454,0,0,1.95657109929705e-05
04/08/2004,4.15768058171263e-05,-0,-0,0,0
05/08/2004,7.17987572084785e-05,0,0,-0,0
06/08/2004,0,0.000256365021654363,0,-0,0
09/08/2004,0.000341008308182468,-0,-0,0,0
10/08/2004,0.000158136617431757,-0,-0,0,-0
11/08/2004,0.000105004082379132,-0,0,0,0
12/08/2004,9.20173495565181e-05,0,0,3.11666383914874e-05,0
13/08/2004,0.000181625639180047,0.000130951074481221,0.000102193169347543,2.50919458548072e-05,0
16/08/2004,0,0.000146578328409411,-0,-0,0
17/08/2004,0,0,0,-0,-0
18/08/2004,0.000129197071625633,0.000200356114545681,-0,-0,3.22208850431049e-05
19/08/2004,0,0,0,0,4.15175290694593e-05
20/08/2004,0,0.00028972673666827,0,0,-0
23/08/2004,6.85203546881959e-05,-0,0,7.31352986224947e-06,0
24/08/2004,6.4438351094167e-05,0,0,-0,0
25/08/2004,0.0012544403748417,-0,0,0,-0
26/08/2004,0,0,0,0,0
27/08/2004,0,0,0,-0,0
30/08/2004,6.30750085176299e-05,0,3.4603602705892e-05,0,-0
31/08/2004,-0,0,0,0,-0
01/09/2004,0,-0,0,0,0
02/09/2004,0,0,0,0,-0
03/09/2004,0.000149680838158501,0,0,0,-0
07/09/2004,9.13956620790065e-05,0.000119302657141868,0,1.72511001377618e-05,0
08/09/2004,-0,0,0,0,-0
09/09/2004,0,0.000125262905090326,-0,2.2248196600071e-05,0
10/09/2004,0.000212103871988269,0,0,-0,2.13199719012349e-05
13/09/2004,0,0,0,0,0
14/09/2004,0.000308248192358059,0.000166598219289876,-0,0,0
15/09/2004,0,-0,0,1.8133390568235e-05,0
16/09/2004,-0,-0,0,1.51474935357757e-05,0
17/09/2004,0.000117166758021546,0,4.53216134682412e-05,0,0
20/09/2004,0,0,0,1.96800244136302e-05,0
21/09/2004,-0,0,7.63595438692719e-05,-0,3.93523007496021e-05
22/09/2004,-0,-0,3.31785063300641e-05,0,0.000292767329807524
23/09/2004,0,-0,-0,-0,0
24/09/2004,-0,0.000103399132674231,-0,0,0
27/09/2004,-0,0,0,0,0
28/09/2004,0,0,-0,-0,0
29/09/2004,8.58000266116684e-05,0,-0,-0,0
30/09/2004,3.83636929708338e-05,0,0,0,1.77183134954644e-05
01/10/2004,0,0,8.77207229853201e-05,0,3.06827794253544e-05
04/10/2004,0,-0,7.60699009730808e-05,0,-0
05/10/2004,0,0,0.000203478305045484,0,2.71134804603113e-05
06/10/2004,0,0,-0,0,0
07/10/2004,0,0,0,0,0
08/10/2004,0,0,0,-0,0
11/10/2004,0,0.000210690338547013,-0,0,0
13/10/2004,0,9.07214044512507e-05,-0,3.07549750971996e-05,1.88553886733067e-05
14/10/2004,-0,0,0,0,0
15/10/2004,-0,0,0,0,0
18/10/2004,0,0,0,0,0
19/10/2004,-0,0,-0,0,0
20/10/2004,-0,0,0,0,0
21/10/2004,0,0,6.90123564350063e-05,0,5.4818681435343e-05
22/10/2004,0,0,0,3.3710045822893e-05,0
